,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,sentiment140,textblob2,vader,n
2020-12-12,,,,,0.3333333333333333,0.8333333333333334,0.4166666666666667,12.0
2020-12-13,0.0,0.0,0.0,0.0,0.3529411764705882,0.4117647058823529,0.3529411764705882,17.0
2020-12-14,0.0,0.0,0.0,0.0,0.6097560975609756,0.5121951219512195,0.3414634146341463,41.0
2020-12-15,0.0,0.0,0.0,0.0,0.5263157894736842,0.631578947368421,0.4736842105263157,19.0
2020-12-16,0.0,0.0,0.0,0.0,0.6206896551724138,0.4482758620689655,0.2758620689655172,29.0
2020-12-17,0.0,0.0,0.0,0.0,0.6451612903225806,0.8064516129032258,0.4838709677419355,31.0
2020-12-18,0.0,0.0,0.0,0.0,0.4102564102564102,0.4358974358974359,0.358974358974359,39.0
2020-12-19,0.0,0.0,0.0,0.0,0.55,0.65,0.4,20.0
2020-12-20,0.0,0.0,0.0,0.0,0.4444444444444444,0.7222222222222222,0.3888888888888889,18.0
2020-12-21,0.0,0.0,0.0,0.0,0.6111111111111112,0.6666666666666666,0.3333333333333333,18.0
2020-12-22,0.0,0.0,0.0,0.0,0.5789473684210527,0.4736842105263157,0.4210526315789473,19.0
2020-12-23,0.0,0.0,0.0,0.0,0.875,0.5,0.625,8.0
2020-12-24,0.0,0.0,0.0,0.0,0.5714285714285714,0.4285714285714285,0.4285714285714285,7.0
2020-12-25,42.0,42.0,42.0,10.0,0.25,0.25,0.25,4.0
2020-12-26,51.0,51.0,51.0,13.0,0.3636363636363636,0.4545454545454545,0.9090909090909092,11.0
2020-12-27,51.0,51.0,51.0,13.0,0.5,0.75,0.75,8.0
2020-12-28,51.0,51.0,51.0,13.0,0.3333333333333333,0.5833333333333334,0.25,12.0
2020-12-29,51.0,51.0,51.0,13.0,0.5294117647058824,0.7058823529411765,0.2941176470588235,17.0
2020-12-30,56.0,56.0,56.0,15.0,0.4090909090909091,0.5,0.3636363636363636,22.0
2020-12-31,129.0,129.0,129.0,26.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,9.0
2021-01-01,173.0,173.0,173.0,33.0,0.4615384615384615,0.4615384615384615,0.4615384615384615,13.0
2021-01-02,194.0,194.0,194.0,37.0,0.5833333333333334,0.6666666666666666,0.4166666666666667,12.0
2021-01-03,215.0,215.0,215.0,53.0,0.625,0.75,0.625,8.0
2021-01-04,227.0,227.0,227.0,54.0,0.4,0.65,0.35,20.0
2021-01-05,246.0,246.0,246.0,58.0,0.5185185185185185,0.5185185185185185,0.4444444444444444,27.0
2021-01-06,676.0,675.0,675.0,100.0,0.44,0.76,0.4,25.0
2021-01-07,1734.0,1732.0,1732.0,187.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.0
2021-01-08,3291.0,3287.0,3287.0,288.0,0.5882352941176471,0.7058823529411765,0.2352941176470588,17.0
2021-01-09,5689.0,5685.0,5685.0,475.0,0.5,0.3333333333333333,0.1666666666666666,6.0
2021-01-10,8373.0,8369.0,8369.0,717.0,0.375,0.875,0.5,8.0
2021-01-11,10645.0,10641.0,10641.0,899.0,0.6774193548387096,0.5483870967741935,0.4516129032258064,31.0
2021-01-12,12046.0,12042.0,12042.0,1001.0,0.4666666666666667,0.8,0.2666666666666666,30.0
2021-01-13,16509.0,16505.0,16504.0,1382.0,0.5,0.5,0.5,10.0
2021-01-14,21438.0,21434.0,21432.0,1759.0,0.4583333333333333,0.6666666666666666,0.5833333333333334,24.0
2021-01-15,26194.0,26190.0,26187.0,2209.0,0.52,0.68,0.52,25.0
2021-01-16,29698.0,29693.0,29689.0,2546.0,0.4347826086956521,0.5217391304347826,0.391304347826087,23.0
2021-01-17,35503.0,35498.0,35492.0,3111.0,0.5,0.6666666666666666,0.8333333333333334,6.0
2021-01-18,35521.0,35516.0,35510.0,3111.0,0.3076923076923077,0.3846153846153846,0.2307692307692307,13.0
2021-01-19,41050.0,41045.0,41036.0,3755.0,0.3888888888888889,0.7777777777777778,0.3888888888888889,18.0
2021-01-20,42120.0,42115.0,42106.0,3866.0,0.75,0.75,0.375,8.0
2021-01-21,50285.0,50280.0,50270.0,4677.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,24.0
2021-01-22,58220.0,58215.0,58203.0,5391.0,0.4,0.52,0.4,25.0
2021-01-23,65087.0,65082.0,65067.0,6341.0,0.5,0.8333333333333334,0.5,12.0
2021-01-24,68709.0,68704.0,68689.0,6968.0,0.75,0.3333333333333333,0.4166666666666667,12.0
2021-01-25,73495.0,73490.0,73468.0,7382.0,0.5555555555555556,0.6666666666666666,0.4444444444444444,18.0
2021-01-26,76855.0,76850.0,76824.0,7950.0,0.5263157894736842,0.3157894736842105,0.2105263157894736,19.0
2021-01-27,82223.0,82218.0,82192.0,8751.0,0.3529411764705882,0.6470588235294118,0.2352941176470588,17.0
2021-01-28,88606.0,88600.0,88571.0,9815.0,0.35,0.7,0.55,20.0
2021-01-29,95930.0,95924.0,95893.0,11315.0,0.6190476190476191,0.7619047619047619,0.3333333333333333,21.0
2021-01-30,108840.0,108834.0,108795.0,13743.0,0.3333333333333333,0.6,0.4,15.0
2021-01-31,108900.0,108894.0,108855.0,13753.0,0.125,0.625,0.375,8.0
2021-02-01,111944.0,111938.0,111892.0,14297.0,0.48,0.76,0.48,25.0
2021-02-02,113721.0,113714.0,113666.0,14918.0,0.5882352941176471,0.5882352941176471,0.6470588235294118,17.0
2021-02-03,120547.0,120540.0,120482.0,17029.0,0.4545454545454545,0.6363636363636364,0.3181818181818182,22.0
2021-02-04,130964.0,130957.0,130887.0,20341.0,0.5,0.6666666666666666,0.4444444444444444,18.0
2021-02-05,156003.0,155996.0,155912.0,29195.0,0.5,0.6111111111111112,0.4444444444444444,18.0
2021-02-06,158962.0,158955.0,158869.0,31027.0,0.625,0.75,0.375,8.0
2021-02-07,176801.0,176794.0,176686.0,38110.0,0.1666666666666666,0.5,0.5,6.0
2021-02-08,193043.0,193036.0,192906.0,44237.0,0.2,0.7,0.4,20.0
2021-02-09,194065.0,194058.0,193928.0,44666.0,0.2857142857142857,0.6428571428571429,0.4285714285714285,14.0
2021-02-10,223690.0,223683.0,223523.0,57787.0,0.44,0.76,0.48,25.0
2021-02-11,224862.0,224855.0,224694.0,58417.0,0.4761904761904761,0.8571428571428571,0.3809523809523809,21.0
2021-02-12,242551.0,242543.0,242348.0,66081.0,0.3125,0.375,0.625,16.0
2021-02-13,262108.0,262099.0,261874.0,75902.0,0.0,1.0,0.0,1.0
2021-02-14,281678.0,281669.0,281425.0,84751.0,0.625,0.875,0.625,8.0
2021-02-15,293677.0,293668.0,293408.0,89515.0,0.7,0.8,0.8,10.0
2021-02-16,299324.0,299315.0,299052.0,92108.0,0.0714285714285714,0.6428571428571429,0.3571428571428571,14.0
2021-02-17,303789.0,303780.0,303516.0,94588.0,0.6086956521739131,0.391304347826087,0.2608695652173913,23.0
2021-02-18,320590.0,320581.0,320298.0,104498.0,0.3157894736842105,0.6842105263157895,0.4210526315789473,19.0
2021-02-19,359161.0,359152.0,358814.0,127411.0,0.3571428571428571,0.5714285714285714,0.2857142857142857,14.0
2021-02-20,361197.0,361188.0,360830.0,128355.0,0.2857142857142857,0.7142857142857143,0.1428571428571428,7.0
2021-02-21,382592.0,382582.0,382129.0,140132.0,0.5,0.5,0.6666666666666666,6.0
2021-02-22,397807.0,397797.0,397311.0,148052.0,0.75,0.5833333333333334,0.5,12.0
2021-02-23,403750.0,403740.0,403248.0,151638.0,0.5714285714285714,0.9285714285714286,0.5,14.0
2021-02-24,420052.0,420042.0,419477.0,160307.0,0.4761904761904761,0.7142857142857143,0.4285714285714285,21.0
2021-02-25,441891.0,441879.0,441291.0,173767.0,0.1818181818181818,0.9090909090909092,0.3636363636363636,11.0
2021-02-26,471312.0,471298.0,470672.0,191922.0,0.3333333333333333,0.6111111111111112,0.2777777777777778,18.0
2021-02-27,497693.0,497678.0,497027.0,207388.0,0.2142857142857142,0.3571428571428571,0.4285714285714285,14.0
2021-02-28,531460.0,531444.0,530653.0,225318.0,0.6,0.8,0.5,10.0
2021-03-01,555263.0,555247.0,554394.0,240335.0,0.4285714285714285,0.7142857142857143,0.3214285714285714,28.0
2021-03-02,575879.0,575863.0,574913.0,251417.0,0.5714285714285714,0.6190476190476191,0.0952380952380952,21.0
